"uri","lom_title","lli_title","title_sim","lom_description","lli_description","description_sim","lom_language","lli_language","language_sim","lom_interactivity_type","lli_interactivity_type","interactivity_type_sim","lom_learning_resource_type","lli_learning_resource_type","learning_resource_type_sim","lom_interactivity_level","lli_interactivity_level","interactivity_level_sim","lom_age_range","lli_age_range","age_range_sim"
"http://vishub.org/excursions/1966","ORÍGENES DEL MOVIMIENTO OBRERO","ORÍGENES DEL MOVIMIENTO OBRERO - Juan","7","ORÍGENES DEL MOVIMIENTO OBRERO, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about ORÍGENES DEL MOVIMIENTO OBRERO. ORÍGENES DEL MOVIMIENTO OBRERO","0.04761905","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1969","Pizarra","Pizarra - Noa y Eli","12","Pizarra. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Pizarra. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://www.nibis.de/nibis.phtml?menid=1329","Deutsch","Niedersächsischer Bildungsserver:","29","Die Seiten des nibis zum Fach Deutsch sind nach Medien geordnet. Es geht um den Einsatz von Film, Computer und Printmedien im Deutschunterricht der Sekundarstufe. Natürlich aber sind Methoden und Inhalte hier kaum zu trennen: ein Blick lohnt sich also in jedem Fall.","","0.0","de","de","true","no value","null","","[no value]","[[FAQ,  table]]","","no value","null","","no value",">18",""
"http://vishub.org/excursions/1968"," Caliza","Caliza - Noa y Eli","13"," Caliza. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about  Caliza. ","0.016393442","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/902","Cómo funciona el corazón","Cómo funciona el corazón - Jose Viñas","13","Práctica de disección de corazón, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Cómo funciona el corazón. Práctica de disección de corazón","0.0625","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1721","Life at low Reynolds number","Life at low Reynolds number - Francesco Garino","19","Life at low Reynolds number, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Life at low Reynolds number. Life at low Reynolds number","0.06153846","en","en","true","mixed","null","","[lecture,  slide,  narrative text,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","16 - 30",">18",""
"http://vishub.org/excursions/1720","ARCE JAPONES","ARCE JAPONES - NSP1A2015","12","Trabajo de Mireya Torres y Carlota Pichardo, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about ARCE JAPONES. Trabajo de Mireya Torres y Carlota Pichardo","0.09375","no value","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/1728","Graf.","Graf. - Batman","9","da, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Graf.. da","0.0","no value","en","false","mixed","null","","[lecture,  slide,  narrative text,  questionnaire]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/904","Geomorfología","Geomorfología - Jose Viñas","13","Imágenes de estructuras geomorfológicas fluviales, glaciares y costeras, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Geomorfología. Imágenes de estructuras geomorfológicas fluviales, glaciares y costeras","0.109375","es","en","false","mixed","null","","[lecture,  slide,  narrative text]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
"http://vishub.org/excursions/903","Módulo 4 de HTML5MOOC","Módulo 4 de HTML5MOOC - Rosa Fraga Escudero","22","Herramienta para probar el código javascript y los ejemplos de la módulo 4 del curso @HTML5MOOC de FirefoxOS, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use .","Slides presentation about Módulo 4 de HTML5MOOC. Herramienta para probar el código javascript y los ejemplos de la módulo 4 del curso @HTML5MOOC de FirefoxOS","0.22077923","es","en","false","mixed","null","","[lecture,  slide]","[[narrative text,  table,  FAQ]]","","very high","null","","no value",">18",""
