"uri"	"title"	"description"	"language"	"technical_location"	"edu_interactivityType"	"edu_learningResourceType"	"edu_interactivityLevel"	"edu_typicalAgeRange"
"null"	"Curiosity Flashcard"	"Curiosity Flashcard. A Virtual Excursion provided by http://storyrobin.com., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., For additional information or questions regarding copyright, distribution and reproduction, visit http://storyrobin.com/legal_notice"	"no value"	"http://storyrobin.com/excursions/4"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Venus Flytrap Enhanced Video"	"Venus Flytrap Enhanced Video. A Virtual Excursion provided by http://storyrobin.com., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., For additional information or questions regarding copyright, distribution and reproduction, visit http://storyrobin.com/legal_notice"	"no value"	"http://storyrobin.com/excursions/7"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"HIGGS PARTICLE: Something very small that makes all the difference"	"A brief history of Higgs particle discovery through ideas and experiments: An excursion from the origin of the Universe to the Large Hadron Collider at CERN., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., For additional information or questions regarding copyright, distribution and reproduction, visit http://storyrobin.com/legal_notice"	"no value"	"http://storyrobin.com/excursions/3"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Chemical Reactions"	"Chemical Reactions. A Virtual Excursion provided by http://storyrobin.com., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., For additional information or questions regarding copyright, distribution and reproduction, visit http://storyrobin.com/legal_notice"	"no value"	"http://storyrobin.com/excursions/8"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Seven Wonders of the World"	"Seven Wonders of the World. A Virtual Excursion provided by http://storyrobin.com., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., For additional information or questions regarding copyright, distribution and reproduction, visit http://storyrobin.com/legal_notice"	"no value"	"http://storyrobin.com/excursions/5"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"The Iberian Lynx"	"The Iberian Lynx. A Virtual Excursion provided by http://storyrobin.com., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., For additional information or questions regarding copyright, distribution and reproduction, visit http://storyrobin.com/legal_notice"	"no value"	"http://storyrobin.com/excursions/2"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Electricity for Kids"	"Electricity for Kids. A Virtual Excursion provided by http://storyrobin.com., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., For additional information or questions regarding copyright, distribution and reproduction, visit http://storyrobin.com/legal_notice"	"no value"	"http://storyrobin.com/excursions/6"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"SCORM and Games"	"Integration of SCORM Packages into Web Games. Presentation of the SGAME framework., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., Integration of SCORM Packages into Web Games. Presentation of the SGAME framework., For additional information or questions regarding copyright, distribution and reproduction, visit http://storyrobin.com/legal_notice"	"en"	"http://storyrobin.com/excursions/1"	"mixed"	"lecture, slide"	"very high"	"18 - 30"
"null"	"A flexible open source web platform to facilitate Learning Object evaluation evaluation"	"This paper presents LOEP, an open source web platform that aims to facilitate Learning Object evaluation in different scenarios and educational settings by supporting and integrating several evaluation models and quality metrics. The work exposed in this paper shows that LOEP is capable ofproviding Learning Object evaluation to e-Learning systems in an open, low cost, reliable and effective way. , This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., This paper presents LOEP, an open source web platform that aims to facilitate Learning Object evaluation in different scenarios and educational settings by supporting and integrating several evaluation models and quality metrics. , For additional information or questions regarding copyright, distribution and reproduction, visit http://storyrobin.com/legal_notice"	"en"	"http://storyrobin.com/excursions/9"	"mixed"	"lecture, slide"	"very high"	"20 - 30"
"null"	"nline"	"nline ist eine internetgestützte Kooperations- und Lernplattform auf dem NiBiS."	"de"	"http://www.nibis.de/nibis.phtml?menid=1007"	"no value"	"no value"	"no value"	"no value"
